Season,Episode,Date,Title,FileName
0,1,8-Dec-03,Night 1 (mini-series),./Season 1/Bsg S1 D1-12.m4v
0,2,9-Dec-03,Night 2 (mini-series),./Season 1/Bsg S1 D1-13.m4v
1,1,14-Jan-05,33,./Season 1/Bsg S1 D2-10.m4v
1,2,14-Jan-05,Water,./Season 1/Bsg S1 D2-11.m4v
1,3,21-Jan-05,Bastille Day,./Season 1/Bsg S1 D2-12.m4v
1,4,28-Jan-05,Act of Contrition,./Season 1/Bsg S1 D2-13.m4v
1,5,4-Feb-05,You Can't Go Home Again,./Season 1/Bsg S1 D2-14.m4v
1,6,11-Feb-05,Litmus,./Season 1/Bsg S1 D3-10.m4v
1,7,18-Feb-05,Six Degrees of Separation,./Season 1/Bsg S1 D3-11.m4v
1,8,25-Feb-05,Flesh and Bone,./Season 1/Bsg S1 D3-12.m4v
1,9,4-Mar-05,"Tigh Me Up, Tigh Me Down",./Season 1/Bsg S1 D3-13.m4v
1,10,11-Mar-05,The Hand of God,./Season 1/Bsg S1 D3-14.m4v
1,11,18-Mar-05,Colonial Day,./Season 1/Bsg S1 D4-10.m4v
1,12,25-Mar-05,Kobol's Last Gleaming (1),./Season 1/Bsg S1 D4-11.m4v
1,13,1-Apr-05,Kobol's Last Gleaming (2),./Season 1/Bsg S1 D4-12.m4v
2,1,15-Jul-05,Scattered,./Season 2/Bsg S2 D1-12.m4v
2,2,22-Jul-05,Valley of Darkness,./Season 2/Bsg S2 D1-13.m4v
2,3,29-Jul-05,Fragged,./Season 2/Bsg S2 D1-14.m4v
2,4,5-Aug-05,Resistance,./Season 2/Bsg S2 D1-15.m4v
2,5,12-Aug-05,The Farm,./Season 2/Bsg S2 D1-16.m4v
2,6,19-Aug-05,Home (1),./Season 2/Bsg S2 D2-10.m4v
2,7,26-Aug-05,Home (2),./Season 2/Bsg S2 D2-11.m4v
2,8,9-Sep-05,Final Cut,./Season 2/Bsg S2 D2-12.m4v
2,9,16-Sep-05,Flight of the Phoenix,./Season 2/Bsg S2 D2-13.m4v
2,10,23-Sep-05,Pegasus (Broadcast),./Season 2/Bsg S2 D2-14.m4v
2,10,23-Sep-05,Pegasus (Extended),./Season 2/Bsg S2 D3-10.m4v
2,11,6-Jan-06,Resurrection Ship (1),./Season 2/Bsg S2 D3-11.m4v
2,12,13-Jan-06,Resurrection Ship (2),./Season 2/Bsg S2 D3-12.m4v
2,13,20-Jan-06,Epiphanies,./Season 2/Bsg S2 D3-13.m4v
2,14,27-Jan-06,Black Market,./Season 2/Bsg S2 D4-10.m4v
2,15,3-Feb-06,Scar,./Season 2/Bsg S2 D4-11.m4v
2,16,10-Feb-06,Sacrifice,./Season 2/Bsg S2 D4-12.m4v
2,17,17-Feb-06,The Captain's Hand,./Season 2/Bsg S2 D4-13.m4v
